title_id	ordering	type
tt0277160	3	imdbDisplay
tt0277945	1	imdbDisplay
tt0279375	1	original
tt0279725	3	imdbDisplay
tt0281886	1	original
tt0282058	2	original
tt0284178	1	imdbDisplay
tt0284655	7	imdbDisplay
tt0285960	1	video
tt0288411	2	original
tt0290405	2	imdbDisplay
tt0292185	2	imdbDisplay
tt0294316	4	imdbDisplay
tt0294369	2	imdbDisplay
tt0294715	2	original
tt0298148	49	imdbDisplay
tt0298351	11	dvd
tt0300446	2	imdbDisplay
tt0301215	3	original
tt0303034	2	imdbDisplay
tt0303360	1	imdbDisplay
tt0304887	1	original
tt0306482	3	original
tt0306830	1	imdbDisplay
tt0306872	1	imdbDisplay
tt0311863	7	imdbDisplay
tt0312757	2	original
tt0314535	2	imdbDisplay
tt0314888	2	imdbDisplay
tt0315790	1	original
tt0318034	21	imdbDisplay
tt0320074	2	original
tt0320882	9	imdbDisplay
tt0321646	1	imdbDisplay
tt0322116	1	imdbDisplay
tt0322189	2	imdbDisplay
tt0323191	1	imdbDisplay
tt0323620	1	original
tt0324061	2	imdbDisplay
tt0331806	2	original
tt0333313	1	alternative
tt0336184	1	original
tt0336514	2	imdbDisplay
tt0342217	2	imdbDisplay
tt0342330	2	imdbDisplay
tt0342797	1	original
tt0343603	8	tv
tt0343660	26	imdbDisplay
tt0344389	2	original
tt0345078	2	original
tt0346934	7	alternative
tt0348505	10	imdbDisplay
tt0348815	1	imdbDisplay
tt0348954	1	imdbDisplay
tt0349831	2	imdbDisplay
tt0350619	2	original
tt0351143	2	imdbDisplay
tt0354672	1	original
tt0356903	2	imdbDisplay
tt0359349	2	imdbDisplay
tt0368103	1	imdbDisplay
tt0368640	2	original
tt0368751	1	original
tt0368838	5	imdbDisplay
tt0370068	2	original
tt0371572	13	imdbDisplay
tt0372439	1	imdbDisplay
tt0372792	2	original
tt0373074	38	imdbDisplay
tt0373460	2	alternative
tt0373668	2	imdbDisplay
tt0377692	1	original
tt0379622	1	imdbDisplay
tt0381111	9	imdbDisplay
tt0381798	29	imdbDisplay
tt0383472	2	original
tt0384623	1	alternative
tt0385500	1	original
tt0385887	11	imdbDisplay
tt0388349	1	dvd
tt0388727	10	imdbDisplay
tt0391296	1	original
tt0392550	2	imdbDisplay
tt0393236	2	imdbDisplay
tt0393834	3	alternative
tt0396606	2	imdbDisplay
tt0397726	1	imdbDisplay
tt0398712	16	imdbDisplay
tt0400690	7	imdbDisplay
tt0401855	28	imdbDisplay
tt0404112	1	imdbDisplay
tt0408409	10	imdbDisplay
tt0409591	31	imdbDisplay
tt0415972	1	imdbDisplay
tt0416713	3	imdbDisplay
tt0419497	2	imdbDisplay
tt0420410	6	original
tt0420803	2	imdbDisplay
tt0422778	10	original
tt0430931	1	imdbDisplay
tt0431851	1	imdbDisplay
tt0432073	1	imdbDisplay
tt0432880	1	imdbDisplay
tt0432883	2	original
tt0432924	1	original
tt0435705	2	imdbDisplay
tt0438299	3	original
tt0439697	1	original
tt0441685	1	imdbDisplay
tt0443733	4	original
tt0444371	2	imdbDisplay
tt0445948	3	imdbDisplay
tt0452157	2	imdbDisplay
tt0454689	3	imdbDisplay
tt0456554	2	imdbDisplay
tt0457240	1	imdbDisplay
tt0458992	1	original
tt0461445	2	original
tt0461792	2	original
tt0461817	2	imdbDisplay
tt0462160	3	imdbDisplay
tt0462263	2	original
tt0463281	4	imdbDisplay
tt0463771	1	original
tt0464015	1	imdbDisplay
tt0464694	2	imdbDisplay
tt0465206	2	original
tt0466614	2	imdbDisplay
tt0469611	4	imdbDisplay
