titleId	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt7853692	tvEpisode	Episode dated 11 January 2018	Episode dated 11 January 2018	0	2018	\N	\N	News
tt7854076	tvEpisode	Episode #1.72	Episode #1.72	0	2005	\N	\N	Drama,Mystery,Romance
tt7859954	tvEpisode	Episode #1.57	Episode #1.57	0	1992	\N	\N	Drama,Romance
tt7860000	tvEpisode	Episode #1.57	Episode #1.57	0	1993	\N	\N	Drama,Romance
tt7860556	tvEpisode	Episode #1.11	Episode #1.11	0	1985	\N	\N	Drama,Romance
tt7872868	tvEpisode	Episode #3.5	Episode #3.5	0	2018	\N	44	Reality-TV
tt7873426	tvEpisode	Episode #1.88	Episode #1.88	0	2006	\N	\N	Adventure,Drama,Family
tt7877942	tvSeries	Volverte a ver	Volverte a ver	0	2018	\N	\N	Talk-Show
tt7878316	tvEpisode	Episode #1.88	Episode #1.88	0	2000	\N	44	Drama,Romance
tt7887734	tvEpisode	Episode #1.35	Episode #1.35	0	2005	\N	\N	Drama,Romance
tt7887820	tvEpisode	Episode #1.73	Episode #1.73	0	2012	\N	\N	Drama,Romance
tt7888336	tvEpisode	Episode #1.173	Episode #1.173	0	1992	\N	\N	Drama,Romance
tt7888964	movie	Nobody	Nobody	0	2021	\N	92	Action,Crime,Drama
tt7894656	tvEpisode	Episode #1.151	Episode #1.151	0	1985	\N	\N	Drama,Romance
tt7895456	tvEpisode	Episode #1.108	Episode #1.108	0	2001	\N	44	\N
tt7898394	tvEpisode	Episode #1.168	Episode #1.168	0	1998	\N	22	Drama
tt7899260	movie	Tranquillo	Tranquillo	0	2018	\N	71	Drama
tt7902592	tvEpisode	Episode #1.67	Episode #1.67	0	2011	\N	\N	Drama
tt7907180	tvEpisode	Episode #1.96	Episode #1.96	0	2012	\N	\N	Family
tt7912266	tvEpisode	Episode #1.46	Episode #1.46	0	1990	\N	\N	Drama,Mystery,Romance
tt7913598	movie	Usedom: Der freie Blick aufs Meer	Usedom: Der freie Blick aufs Meer	0	2017	\N	95	Documentary
tt7916854	tvEpisode	Episode #1.45	Episode #1.45	0	1988	\N	\N	Drama,Romance
tt7917216	tvEpisode	Episode #1.25	Episode #1.25	0	2013	\N	\N	Animation
tt7917776	tvEpisode	Episode #1.187	Episode #1.187	0	1974	\N	\N	Comedy,Drama
tt7918754	movie	Die Geschichte der Krim	Die Geschichte der Krim	0	2017	\N	52	Documentary
tt7923052	movie	The Light We Lost	The Light We Lost	0		\N	\N	Drama
tt7925292	tvEpisode	Episode #1.7	Episode #1.7	0	2012	\N	23	Documentary
tt7925642	tvEpisode	Episode dated 31 January 2018	Episode dated 31 January 2018	0	2018	\N	\N	News
tt7927316	tvEpisode	Episode #1.93	Episode #1.93	0	1977	\N	\N	Drama,Romance
tt7930728	tvEpisode	Episode #1.3	Episode #1.3	0	2008	\N	\N	Reality-TV
tt7930752	tvEpisode	Episode #1.102	Episode #1.102	0	1977	\N	\N	Drama,Romance
tt7937168	movie	The Endless Trench	La trinchera infinita	0	2019	\N	147	Drama,History,Thriller
tt7938486	movie	To Love Somebody	Qiu ai jia qi	0	2014	\N	103	Romance
tt7939052	tvEpisode	Episode #1.103	Episode #1.103	0	2004	\N	\N	Romance
tt7940606	movie	No Loss, No Gain	No Loss, No Gain	0	2021	\N	98	Thriller
tt7944840	tvEpisode	Episode #1.1	Episode #1.1	0	2010	\N	\N	Comedy
tt7945538	tvEpisode	Episode #24.4	Episode #24.4	0	2002	\N	\N	News,Sport,Talk-Show
tt7948132	tvSeries	Ill Gotten Gains	Ill Gotten Gains	0	2016	2020	45	Documentary
tt7951700	tvEpisode	Episode #5.6	Episode #5.6	0	2014	\N	\N	Talk-Show
tt7956028	tvEpisode	Episode #11.10	Episode #11.10	0	2015	\N	\N	Game-Show,Music,Reality-TV
tt7957766	tvEpisode	Episode #1.75	Episode #1.75	0	1986	\N	44	Drama,Mystery
tt7957948	short	Jockstrap Palace	Jockstrap Palace	0	2017	\N	\N	Comedy,Short
tt7960060	tvEpisode	Episode #1.37	Episode #1.37	0		\N	\N	Drama
tt7960984	tvEpisode	Marina rechaza a Ricardo y le cuenta su pasado	Marina rechaza a Ricardo y le cuenta su pasado	0	2018	\N	\N	Drama
tt7961874	tvEpisode	Episode #1.208	Episode #1.208	0	1977	\N	\N	Drama,Romance
tt7962854	short	Jormundur	Jormundur	0	2018	\N	5	Documentary,Short
tt7963112	tvEpisode	Episode dated 12 March 1976	Episode dated 12 March 1976	0	1976	\N	\N	Comedy,Talk-Show
tt7965002	tvEpisode	Episode #1.114	Episode #1.114	0	1986	\N	22	Drama
tt7965340	tvEpisode	Episode #1.107	Episode #1.107	0	1986	\N	44	Drama,Mystery
tt7968684	tvEpisode	Episode #1.104	Episode #1.104	0	1989	\N	22	\N
tt7969794	tvEpisode	Episode #1.79	Episode #1.79	0	1985	\N	22	Drama
tt7971498	video	What's Up Downunder! on the Yorke	What's Up Downunder! on the Yorke	0	2016	\N	45	Adventure,Documentary,History
tt7976236	tvEpisode	Episode #1.8	Episode #1.8	0	2018	\N	\N	Comedy
tt7978728	tvEpisode	Episode #1.10	Episode #1.10	0	2004	\N	\N	Drama,Thriller
tt7982630	tvEpisode	Episode #1.119	Episode #1.119	0	1975	\N	30	Drama,Romance
tt7985112	tvEpisode	Episode #18.18	Episode #18.18	0	2018	\N	\N	Game-Show,Reality-TV,Thriller
