name_id	title_id
nm0001664	tt0420896
nm0001672	tt0111127
nm0001672	tt1300854
nm0001672	tt0094012
nm0001672	tt0078133
nm0001689	tt0094737
nm0001689	tt0095593
nm0001689	tt0093936
nm0001689	tt0101889
nm0001695	tt0033873
nm0001695	tt0037988
nm0001695	tt0042192
nm0001695	tt0032976
nm0001769	tt0474499
nm0001769	tt0103466
nm0001769	tt2248835
nm0001769	tt0119951
nm0001846	tt0072584
nm0001846	tt0095230
nm0001846	tt0106761
nm0001846	tt0110622
nm0001856	tt0090493
nm0001856	tt1620680
nm0001856	tt1327773
nm0001856	tt0088939
nm0001859	tt0048424
nm0001859	tt0056193
nm0001859	tt0059573
nm0001859	tt0069113
nm0001872	tt0206314
nm0001872	tt0318649
nm0001872	tt0462504
nm0001872	tt3450958
nm0001888	tt0041386
nm0001888	tt0053335
nm0001888	tt0044760
nm0001888	tt0040076
nm0001973	tt0810913
nm0001973	tt0120434
nm0001973	tt0085995
nm0001973	tt1266020
nm0001992	tt0059398
nm0001992	tt0116282
nm0001992	tt0260758
nm0001992	tt0055708
nm0002005	tt3402236
nm0002005	tt7657566
nm0002005	tt1349600
nm0002005	tt0051201
nm0002016	tt0066636
nm0002016	tt0038669
nm0002016	tt0102070
nm0002016	tt0047264
nm0002021	tt0034891
nm0002021	tt0038363
nm0002021	tt0064505
nm0002021	tt0037558
nm0002038	tt0037408
nm0002038	tt0042589
nm0002038	tt0045702
nm0002038	tt0037365
nm0002054	tt0439410
nm0002054	tt0356150
nm0002054	tt0115509
nm0002054	tt0082398
nm0002089	tt0094074
nm0002089	tt0059319
nm0002089	tt0091278
nm0002089	tt0060120
nm0002143	tt0027125
nm0002143	tt0057193
nm0002143	tt0030241
nm0002143	tt0036613
nm0002198	tt10749896
nm0002198	tt5164214
nm0002198	tt0054389
nm0002198	tt0120663
nm0002332	tt1630029
nm0002332	tt4160708
nm0002332	tt0091474
nm0002332	tt0499549
nm0002615	tt0000472
nm0002615	tt0287024
nm0002615	tt0238498
nm0002615	tt0780034
nm0002634	tt7286848
nm0002634	tt10413648
nm0002634	tt4320944
nm0002634	tt5674872
nm0002836	tt8159330
nm0002836	tt11447658
nm0002836	tt5834204
nm0002836	tt7772602
nm0003073	tt0812243
nm0003073	tt3456414
nm0003073	tt0214520
nm0003073	tt0953318
nm0003259	tt0115407
nm0003259	tt0803004
nm0003259	tt0382960
nm0003259	tt0108504
nm0003285	tt0090945
nm0003285	tt0805414
nm0003285	tt0806910
nm0003285	tt0115088
nm0003638	tt0022458
nm0003638	tt0018455
nm0003638	tt0013442
nm0003638	tt0015064
nm0004000	tt0144085
nm0004000	tt19267756
nm0004000	tt1901871
nm0004000	tt2303077
nm0004448	tt0102975
nm0004448	tt0102798
nm0004448	tt0107497
nm0004448	tt0113243
nm0004464	tt0053047
nm0004464	tt0053674
nm0004464	tt0060654
nm0004464	tt0049293
nm0004471	tt6836936
nm0004471	tt7838252
nm0004471	tt0264415
nm0004471	tt6485666
nm0004496	tt0041507
nm0004496	tt0041163
nm0004496	tt0046807
nm0004496	tt0046816
nm0004552	tt0097757
nm0004552	tt0103639
nm0004552	tt0110357
nm0004552	tt0126029
nm0004591	tt0282209
nm0004591	tt0099044
nm0004591	tt0176269
nm0004591	tt0108358
nm0004621	tt0096542
nm0004621	tt0098826
nm0004621	tt0112022
nm0004621	tt1070886
nm0004737	tt0105151
nm0004737	tt0085032
nm0004737	tt2435970
nm0004737	tt8478042
nm0004746	tt0369610
nm0004746	tt0407304
nm0004746	tt2281587
nm0004746	tt0060801
nm0004798	tt0071042
nm0004798	tt0080289
nm0004798	tt0081871
nm0004798	tt0092484
nm0004804	tt0810913
nm0004804	tt0106598
nm0004804	tt0111945
nm0004804	tt0358082
nm0004805	tt1772341
nm0004805	tt4875844
nm0004805	tt0202741
nm0004805	tt0814130
nm0004806	tt1320253
nm0004806	tt1764651
nm0004806	tt0162065
nm0004806	tt0412253
nm0004817	tt3843168
nm0004817	tt2226342
nm0004817	tt3281796
nm0004856	tt0167735
nm0004856	tt1839337
nm0004856	tt0236348
nm0004856	tt0261983
nm0004872	tt0092325
nm0004872	tt0305224
nm0004872	tt0096542
nm0004872	tt0126411
nm0004882	tt0090466
nm0004882	tt0065335
nm0004882	tt0092325
nm0004882	tt1068634
nm0004903	tt0460810
nm0004903	tt0201694
nm0004903	tt0176318
nm0004903	tt0485842
nm0004931	tt0120762
nm0004931	tt0318155
nm0004931	tt0099472
nm0004931	tt0096438
nm0004939	tt0372799
nm0004939	tt9459336
nm0004939	tt0093088
nm0004939	tt0075148
nm0004957	tt0081857
nm0004957	tt0205656
nm0004957	tt0364782
nm0004957	tt1898066
nm0004961	tt0443453
nm0004961	tt0110478
nm0004961	tt0126916
nm0004961	tt0107211
nm0004983	tt0064603
nm0004983	tt0057193
nm0004983	tt0056262
nm0004983	tt0097757
nm0004985	tt0991263
nm0004985	tt0106053
nm0004985	tt0092400
nm0004985	tt0103569
nm0005049	tt0427327
nm0005049	tt0274558
nm0005049	tt1454029
nm0005049	tt0467406
nm0005086	tt0083866
nm0005086	tt0107290
nm0005086	tt0286106
nm0005086	tt0421715
nm0005092	tt0120660
nm0005092	tt0389790
nm0005092	tt0087332
nm0005092	tt0265029
nm0005143	tt0106673
nm0005143	tt0103569
nm0005143	tt0118884
nm0005143	tt0186566
nm0005234	tt6164210
nm0005234	tt0078638
nm0005234	tt0067588
nm0005234	tt10954984
nm0005302	tt0058796
nm0005302	tt0048845
nm0005302	tt0203259
nm0005302	tt2261391
nm0005310	tt0068555
nm0005310	tt0385307
nm0005310	tt0810913
nm0005310	tt0185431
nm0005340	tt1695746
nm0005340	tt0112006
nm0005340	tt0058796
nm0005340	tt0078638
nm0005355	tt0098800
nm0005355	tt0120891
nm0005355	tt0362404
nm0005355	tt0112015
nm0005419	tt13368190
nm0005419	tt2398249
nm0005419	tt0115227
nm0005419	tt3854942
nm0005722	tt0026159
nm0005722	tt0026907
nm0005722	tt0158361
nm0005722	tt0040365
nm0005755	tt0088930
nm0005755	tt0085995
nm0005755	tt0078718
nm0005755	tt0076723
nm0005777	tt0064536
nm0005777	tt0067163
nm0005777	tt0119874
nm0005777	tt0120647
nm0005784	tt0020891
nm0005784	tt0029222
nm0005784	tt0030817
nm0005784	tt0032256
nm0005807	tt0067093
nm0005807	tt0063385
nm0005807	tt0069281
nm0005807	tt0073341
nm0005888	tt0071824
nm0005888	tt0070903
nm0005888	tt0068156
nm0005888	tt0065988
nm0005909	tt0083658
nm0005909	tt0249462
nm0005909	tt0117951
nm0005909	tt0111149
nm0005919	tt0064959
nm0005919	tt0070130
nm0005919	tt0081693
nm0005919	tt0169353
nm0005939	tt0027016
nm0005939	tt0025102
nm0005939	tt0031270
