title_id	name_id	role_
tt0824581	nm0008640	
tt0824581	nm0166303	
tt0824581	nm0395649	
tt0824581	nm0714117	
tt0824581	nm0744786	
tt0835622	nm1284907	
tt0835622	nm1518634	
tt0835622	nm0305132	
tt0835622	nm0303599	
tt0835622	nm1133949	
tt0835622	nm1595632	
tt0835622	nm0596925	
tt0835622	nm0581960	
tt0835622	nm1365217	
tt0840151	nm2169454	
tt0876344	nm0770971	
tt0876344	nm0083907	
tt0876344	nm0098093	
tt0876344	nm1076280	
tt0876344	nm0180336	
tt0876344	nm2411413	
tt0876344	nm1012993	
tt0876344	nm0241607	
tt0876344	nm2420493	
tt0876344	nm0583701	
tt0885761	nm0274750	
tt0885761	nm0227003	
tt0885761	nm0431420	
tt0885761	nm0495799	
tt0885761	nm1625795	
tt0885761	nm1855695	
tt0885761	nm0479412	
tt0900259	nm0092188	
tt0900259	nm0185954	
tt0900259	nm0482987	
tt0900259	nm0422056	
tt0900259	nm0030022	
tt0900259	nm0048468	
tt0951059	nm0000752	
tt0951059	nm0035930	
tt0951059	nm0121826	
tt0951059	nm0179654	
tt0967148	nm0487399	
tt0967148	nm0248371	
tt0967148	nm0162100	
tt0967148	nm0265818	
tt0967148	nm0892861	
tt0967148	nm0032955	
tt0967148	nm0266723	
tt0967148	nm0275002	
tt0987770	nm0501726	
tt0987770	nm0897333	
tt0987770	nm0217015	
tt0987770	nm0138493	
tt0995543	nm0739175	
tt0995543	nm1697701	
tt0995543	nm2621335	
tt0995543	nm2622000	
tt10010282	nm10542850	
tt10010282	nm5091791	
tt10010282	nm4648769	
tt10010282	nm10542848	
tt10010282	nm10542854	
tt10010282	nm10542851	
tt10010282	nm10542852	
tt10010282	nm10542847	
tt10010282	nm10542849	
tt10024268	nm9505933	
tt10024268	nm7207149	
tt10024268	nm8461080	
tt10032880	nm1118516	
tt10032880	nm1801750	
tt10032880	nm3138542	
tt10032880	nm3166643	
tt10061228	nm7771112	
tt10061228	nm1294558	
tt10061228	nm9844618	
tt10074880	nm5123651	
tt10074880	nm1585698	
tt10074880	nm9943928	
tt10074880	nm9435844	
tt10074880	nm13554615	
tt10076144	nm3198229	
tt10076144	nm8744024	
tt10076144	nm9505933	
tt10076144	nm3256676	
tt10083402	nm4907662	
tt10083402	nm4908166	
tt10083402	nm9618370	
tt10083402	nm9878298	
tt10083854	nm3198229	
tt10083854	nm8744024	
tt10083854	nm9505933	
tt10083854	nm3256676	
tt10114274	nm5411856	
tt10114274	nm0474604	
tt10114274	nm4336825	
tt10118650	nm5411856	
tt10118650	nm0474604	
tt10118650	nm4336825	
tt10151784	nm4688674	
tt10151784	nm0299924	
tt10151784	nm1206307	
tt10151784	nm5067820	
tt10205840	nm4443502	
tt10205840	nm2127745	
tt10205840	nm7787949	
tt10205840	nm4927475	
tt10205840	nm8609356	
tt10221428	nm0593411	
tt10221428	nm0787317	
tt10221428	nm0886469	
tt10255260	nm4478061	
tt10255260	nm0731533	
tt10255260	nm0826888	
